First Name           |Last Name            |  Age|Score
---------------------+---------------------+-----+-----
Aaron                 Grimm                    30    86
Aaron                 Koressel                 33    86
Aaron                 Russo                    30    81
Abraham               Howard                   26    82
Ada                   Parker                   26    72
Ada                   Walker                   61    70
Adam                  Gates                    19    73
Adam                  Wermus                   26    90
Adam                  Woodbury                 34    86
Addie                 Chandler                 54    80
Addielyn              Thurston                 18    83
Adelaide              Carter                   20    84
Adelaide              Clark                    74    77
Adison                Scott                    53    70
Adrian                Owens                    35    93
Adrian                Bell                     62    80
Adrian                Maruri                   58    70
Adrian                Molina                   46    68
Aimei                 Kutt                     65    69
AJ                    Zmudosky                 21    72
Alan                  Adams                    47    77
Alan                  Edwards                  45    70
Alan                  Browning                 45    77
Alberta               Barrett                  55    74
Alex                  Iles                     64    70
Alex                  Marino                   36    78
Alex                  Mohr                     28    71
Alexandra             Zalucky                  36    68
Alexandro             Campos                   21    72
Alfonso               Caparrini                22    97
Alicea                Lin Engquist             52    78
Allen                 Fogle                    66    75
Allison               Bianchi                  24    75
Allison               Parker                   30    74
Alma                  Fernandez                31    74
Aly                   Fidiam-Smith             41    76
Alyssa                Del Vigna                38    78
Alyssa                Minko                    51    82
Alyssa                Murphy                   42    84
Alyssa                Park                     48    84
Alyssa                Promessi                 30    75
Amanda                Goodpaster               28    88
Amandeep              Singh                    32    93
Amit                  Ganapati Baadkar         51    74
Amy                   Perry                    18    72
Amy                   Hershberger              45    74
Ana                   Gabriela Lacaze          40    77
Ana                   Ram�rez Gonz�les         45    69
Andrea                Aleman                   65    70
Andrea                Goh                      53    76
Andrea                Warren                   27    79
Andrea                Zomorodian               36    79
Andreas               Procopiou                55    77
Andrew                Ryan                     20    86
Andrew                Bain                     65    71
Andrew                Butts                    41    68
Andrew                Jimenez                  43    84
Andrew                Page                     62    73
Andrew                Perez                    45    76
Andrew                Pienaar                  30    76
Andrew                Stanton                  20    90
Andy                  Dat Mai                  18    80
Angela                Marie Mistretta          29    67
Anna                  Cameron                  36    94
Anthony               A. Apodaca               26    96
Anthony               Muscarella               25    69
Ariela                Nurko Federov            24    81
Arik                  Ehle                     22    76
Arlene                Chan                     33    68
Armando               Gutierrez Gonzalez       70    78
Arnold                Grant                    51    83
Arnold                Wells                    63    80
Arthur                Mason                    19    77
Arturo                Aguilar                  29    85
Athena                Xenakis                  31    80
Aurica                Hayes                    66    72
Axel                  Geddes                   33    82
Barney                Jones                    49    81
Bayani                Inclano                  74    79
BeiBei                Monter                   28    72
Belinda               Walker                   40    79
Ben                   Jordan                   70    68
Ben                   Lash                     23    96
Ben                   Rush                     30    83
Benjamin              Plessala                 45    82
Benjamin              Valic                    71    73
Beril                 Pisgin-Saglam            61    74
Bess                  Daubenmire               52    82
Beth                  David                    40    73
Beth                  Sasseen                  70    70
Beth                  Sullivan                 52    73
Bethany               Jane Hanson              41    91
Beyonc�               Knowles                  67    83
Billie                Eilish                   34    78
Bing                  Chen                     55    71
Blake                 Henderson                42    82
Bob                   Pauley                   63    72
Bob                   Whitehill                66    77
Brad                  Robinson                 33    78
Brad                  Winemiller               35    87
Breck                 Alverson                 20    73
Bree                  Jenkins                  55    67
Brenda                Lin Zhang                52    74
Brendan               Beesley                  73    75
Breonna               Carter                   56    75
Bret                  Parker                   63    71
Brian                 Kilgore                  74    78
Brianna               Chapman                  44    71
Britta                Wilson                   66    74
Brittany              Plung                    47    71
Bruce                 Craig                    62    87
Bruce                 Richards                 18    70
Bruna                 Moniz Berford            49    69
Byron                 Bashforth                18    82
Caleb                 Jeon                     20    76
Candace               Maga�a                   32    85
Capri                 Oliver                   27    77
Carl                  Cole                     47    73
Carl                  Harper                   32    70
Carliona              Dau-Kaufman              57    71
Carlos                Felipe Le�n              35    83
Carly                 Riley                    42    84
Carol                 Moen Wing                68    76
Carolina              Gaskin                   62    74
Carolyn               Mazanec                  28    92
Carrie                Hobson                   43    82
Cassandra             Garcia                   22    96
Catherine             Bennett                  23    71
Catherine             Hang-Hicks               48    70
Catherine             Racette                  36    76
Cathy                 Shirk                    68    68
Cedric                L. Williams              34    90
Chad                  Williams                 53    73
Charles               Sochin                   24    72
Charlie               Lloyd                    48    70
Charlie               Bisharat                 19    79
Charlie               Kilpatrick               23    95
Charlie               Tyler                    72    82
Chelsea               Murray                   22    82
Chelsea               Wright                   33    76
Cherise               Miller                   24    83
Cherry                Miller                   28    77
Cheryl                Ichikawa Wang            62    72
Cheryl                Nardi                    42    79
Chester               Higgins                  46    71
Chester               Nelson                   62    76
Chester               Richardson               34    88
Chia-an               Anne Fu                  69    74
Chris                 Fogel                    26    94
Chris                 Lasell                   51    72
Chris                 Sasaki                   30    87
Chris                 Schoeneman               31    95
Chris                 Stevenson                57    75
Chrissa               Urquiola                 51    75
Christian             J. Simon                 28    76
Christina             Garcia Weiland           66    72
Christina             Gin                      61    75
Christine             Freeman                  48    69
Christine             Jones                    25    92
Christine             Wilcock                  21    67
Christopher           Hamilton                 63    67
Christopher           Meeker                   33    79
Christopher           R. Carter                22    86
Christopher           Sanchez                  31    70
Chuck                 Waite                    30    74
Chuimei               Ho                       22    90
Claire                Faggioli                 69    71
Claudia               Chang Sanii              36    93
Clayborn              Welch                    37    86
Cody                  Harrington               39    67
Cody                  Lyon                     64    69
Colby                 Donaldson                23    90
Colin                 Bohrer                   41    79
Collin                Allen                    72    70
Cory                  Omand                    33    95
Courtney              Dingel                   42    87
Coya                  Elliott                  67    77
Craig                 Foster                   37    74
Craig                 Marshall                 36    85
Dainton               Farrell                  70    77
Dainton               Hall                     42    74
Dainton               Scott                    75    76
Dale                  Martin                   30    78
Dan                   Fornero                  28    82
Dana                  Donaldson                71    72
Dana                  Frankoff                 31    90
Daniel                Chong                    44    81
Daniel                Garcia                   63    69
Danielle              Feinberg                 38    91
Darcy                 Parker                   45    73
Darcy                 Ryan                     36    76
Darrell               Valor                    40    72
Dave                  Hale                     49    82
Dave                  Strick                   62    67
Dave                  Weckl                    33    82
David                 Baraff                   23    80
David                 Batte                    29    72
David                 Boucher                  20    69
David                 Hayter                   26    72
David                 Lally                    36    82
David                 Lei                      18    78
David                 M. Laur                  47    83
