First Name           |Last Name            |  Age|Score
---------------------+---------------------+-----+-----
Aaron                 Grimm                    30    96
Aaron                 Koressel                 33    91
Aaron                 Russo                    30    81
Abraham               Armstrong                57    71
Abraham               Harper                   58    67
Abraham               Howard                   26    87
Ada                   Parker                   26    87
Ada                   Walker                   61    75
Adam                  Faruqi                   38    81
Adam                  Fuchs                    21    69
Adam                  Gates                    19    88
Adam                  Wermus                   26   105
Adam                  Woodbury                 34    91
Addie                 Chandler                 54    80
Addielyn              Thurston                 18    98
Adelaide              Carter                   20    84
Adelaide              Clark                    74    77
Adison                Scott                    53    70
Adrian                Owens                    35    98
Adrian                Bell                     62    80
Adrian                Maruri                   58    70
Adrian                Molina                   46    78
Aimei                 Kutt                     65    69
AJ                    Zmudosky                 21    72
Alan                  Adams                    47    82
Alan                  Edwards                  45    70
Alan                  Browning                 45    82
Alberta               Barrett                  55    84
Alex                  Iles                     64    75
Alex                  Marino                   36    78
Alex                  Mohr                     28    86
Alexandra             Zalucky                  36    73
Alexandro             Campos                   21    82
Alexia                Carroll                  57    81
Alfonso               Caparrini                22   107
Alicea                Lin Engquist             52    83
Alisa                 Walker                   75    80
Alison                Leaf                     19    71
Alissa                Hunt                     20    70
Allen                 Fogle                    66    80
Allison               Bianchi                  24    80
Allison               Parker                   30    79
Alma                  Fernandez                31    89
Aly                   Fidiam-Smith             41    76
Alyssa                Del Vigna                38    83
Alyssa                Lee                      57    76
Alyssa                Mar                      47    68
Alyssa                Minko                    51    92
Alyssa                Murphy                   42    99
Alyssa                Park                     48    84
Alyssa                Promessi                 30    90
Amanda                Goodpaster               28    88
Amandeep              Singh                    32    98
Amit                  Ganapati Baadkar         51    79
Amy                   Perry                    18    72
Amy                   Hershberger              45    74
Ana                   Gabriela Lacaze          40    77
Ana                   Ram�rez Gonz�les         45    84
Andrea                Aleman                   65    80
Andrea                Goh                      53    76
Andrea                Warren                   27    79
Andrea                Zomorodian               36    89
Andreas               Procopiou                55    82
Andrew                Ryan                     20    86
Andrew                Bain                     65    71
Andrew                Butts                    41    68
Andrew                Jimenez                  43    84
Andrew                MacRae                   50    70
Andrew                Page                     62    73
Andrew                Perez                    45    76
Andrew                Pienaar                  30    81
Andrew                Stanton                  20    95
Andy                  Dat Mai                  18    90
Angela                Marie Mistretta          29    72
Anna                  Cameron                  36    99
Anna                  Wolitzky                 68    74
Annabella             Morrison                 62    68
Anthony               A. Apodaca               26   106
Anthony               Muscarella               25    74
Anthony               Parnther                 58    78
April                 Foster                   42    75
Ariela                Nurko Federov            24    91
Arik                  Ehle                     22    76
Arlene                Chan                     33    73
Armando               Gutierrez Gonzalez       70    78
Arnold                Grant                    51    88
Arnold                Wells                    63    90
Artemis               Snow                     45    71
Arthur                Mason                    19    82
Arturo                Aguilar                  29    85
Athena                Xenakis                  31    85
Audrey                Wong                     36    77
Aurica                Hayes                    66    72
Axel                  Geddes                   33    92
Barney                Jones                    49    91
Bayani                Inclano                  74    84
BeiBei                Monter                   28    87
Belinda               Elliott                  47    74
Belinda               Walker                   40    84
Ben                   Jordan                   70    68
Ben                   Lash                     23    96
